date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:13	18754/18754	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202017%2018:25:36%20GMT	https://demos.freehtml5.co/tasty/index.html	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/index.html	(from )
12:08:14	457/457	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Sep%202022%2006:38:13%20GMT	https://demos.freehtml5.co/robots.txt		(from )
12:08:15	1548/1548	---MC-	200	added ('OK')	text/css	date:Sat,%2024%20Sep%202022%2006:38:14%20GMT	https://fonts.googleapis.com/css?family=Cormorant+Garamond:300,300i,400,400i,500,600i,700	/home/kumartej/websites/food_6/fonts.googleapis.com/css301b.css	(from https://demos.freehtml5.co/tasty/index.html)
12:08:16	182/182	---MC-	200	added ('OK')	text/css	date:Sat,%2024%20Sep%202022%2006:38:15%20GMT	https://fonts.googleapis.com/css?family=Satisfy	/home/kumartej/websites/food_6/fonts.googleapis.com/csseb99.css	(from https://demos.freehtml5.co/tasty/index.html)
12:08:17	73008/73008	---MCZ	200	added ('OK')	text/css	etag:W/%2257a81be4-11d30%22	https://demos.freehtml5.co/tasty/css/animate.css	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/css/animate.css	(from https://demos.freehtml5.co/tasty/index.html)
12:08:18	51227/51227	---MCZ	200	added ('OK')	text/css	etag:W/%2258b86d70-c81b%22	https://demos.freehtml5.co/tasty/css/icomoon.css	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/css/icomoon.css	(from https://demos.freehtml5.co/tasty/index.html)
12:08:19	6864/6864	---MCZ	200	added ('OK')	text/css	etag:W/%22584932ec-1ad0%22	https://demos.freehtml5.co/tasty/css/flexslider.css	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/css/flexslider.css	(from https://demos.freehtml5.co/tasty/index.html)
12:08:20	149256/149256	---MCZ	200	added ('OK')	text/css	etag:W/%2258b8e0e6-24708%22	https://demos.freehtml5.co/tasty/css/bootstrap.css	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/css/bootstrap.css	(from https://demos.freehtml5.co/tasty/index.html)
12:08:21	38725/38725	---MCZ	200	added ('OK')	text/css	etag:W/%2258c81bbe-9745%22	https://demos.freehtml5.co/tasty/css/style.css	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/css/style.css	(from https://demos.freehtml5.co/tasty/index.html)
12:08:22	15413/15413	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256073c40-3c35%22	https://demos.freehtml5.co/tasty/js/modernizr-2.6.2.min.js	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/js/modernizr-2.6.2.min.js	(from https://demos.freehtml5.co/tasty/index.html)
12:08:23	13453/13453	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202017%2018:25:38%20GMT	https://demos.freehtml5.co/tasty/menu.html	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/menu.html	(from https://demos.freehtml5.co/tasty/index.html)
12:08:24	13142/13142	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202017%2018:25:36%20GMT	https://demos.freehtml5.co/tasty/gallery.html	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/gallery.html	(from https://demos.freehtml5.co/tasty/index.html)
12:08:26	10998/10998	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202017%2018:25:36%20GMT	https://demos.freehtml5.co/tasty/reservation.html	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/reservation.html	(from https://demos.freehtml5.co/tasty/index.html)
12:08:27	13997/13997	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202017%2018:25:36%20GMT	https://demos.freehtml5.co/tasty/about.html	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/about.html	(from https://demos.freehtml5.co/tasty/index.html)
12:08:27	8792/8792	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jul%202017%2018:25:36%20GMT	https://demos.freehtml5.co/tasty/contact.html	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/contact.html	(from https://demos.freehtml5.co/tasty/index.html)
12:08:29	119999/119999	---M--	200	added ('OK')	image/jpeg	etag:%225936c89c-1d4bf%22	https://demos.freehtml5.co/tasty/images/hero_1.jpeg	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/images/hero_1.jpg	(from https://demos.freehtml5.co/tasty/index.html)
12:08:31	123542/123542	---M--	200	added ('OK')	image/jpeg	etag:%225936c89c-1e296%22	https://demos.freehtml5.co/tasty/images/gallery_9.jpeg	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/images/gallery_9.jpg	(from https://demos.freehtml5.co/tasty/index.html)
12:08:31	148920/148920	---M--	200	added ('OK')	image/jpeg	etag:%225936c89c-245b8%22	https://demos.freehtml5.co/tasty/images/gallery_8.jpeg	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/images/gallery_8.jpg	(from https://demos.freehtml5.co/tasty/index.html)
12:08:32	106787/106787	---M--	200	added ('OK')	image/jpeg	etag:%225936c89a-1a123%22	https://demos.freehtml5.co/tasty/images/gallery_6.jpeg	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/images/gallery_6.jpg	(from https://demos.freehtml5.co/tasty/index.html)
12:08:33	142410/142410	---M--	200	added ('OK')	image/jpeg	etag:%225936c89c-22c4a%22	https://demos.freehtml5.co/tasty/images/gallery_7.jpeg	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/images/gallery_7.jpg	(from https://demos.freehtml5.co/tasty/index.html)
12:08:33	87755/87755	---M--	200	added ('OK')	image/jpeg	etag:%225936c89e-156cb%22	https://demos.freehtml5.co/tasty/images/person_1.jpg	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/images/person_1.jpg	(from https://demos.freehtml5.co/tasty/index.html)
12:08:35	158303/158303	---M--	200	added ('OK')	image/jpeg	etag:%225936c89a-26a5f%22	https://demos.freehtml5.co/tasty/images/gallery_5.jpeg	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/images/gallery_5.jpg	(from https://demos.freehtml5.co/tasty/index.html)
12:08:36	119230/119230	---M--	200	added ('OK')	image/jpeg	etag:%225936c89a-1d1be%22	https://demos.freehtml5.co/tasty/images/gallery_1.jpeg	/home/kumartej/websites/food_6/demos.freehtml5.co/tasty/images/gallery_1.jpg	(from https://demos.freehtml5.co/tasty/index.html)
